2021-09-17 17:37:03,060 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:37:56,934 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:15,840 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:20,132 INFO epoch = 2, iteration = 0, loss_policy = 2.1596407890319824, loss_value = 0.7686123251914978, loss = 2.928253173828125, accuracy = 0.0, 1.0
2021-09-17 17:39:20,177 INFO epoch = 2, iteration = 0, loss_policy = 5.7633843421936035, loss_value = 0.7934432029724121, loss = 6.556827545166016, accuracy = 0.0, 0.0
2021-09-17 17:39:20,216 INFO epoch = 2, iteration = 0, loss_policy = 3.765401840209961, loss_value = 0.6692320108413696, loss = 4.434633731842041, accuracy = 1.0, 1.0
2021-09-17 17:39:20,251 INFO epoch = 2, iteration = 0, loss_policy = 3.0688304901123047, loss_value = 0.6064563393592834, loss = 3.6752867698669434, accuracy = 0.0, 0.0
2021-09-17 17:39:20,303 INFO epoch = 2, iteration = 0, loss_policy = 1.3550755977630615, loss_value = 0.6771034598350525, loss = 2.032179117202759, accuracy = 0.0, 0.0
2021-09-17 17:39:20,365 INFO epoch = 2, iteration = 0, loss_policy = 0.9064590930938721, loss_value = 0.7597935199737549, loss = 1.666252613067627, accuracy = 0.0, 0.0
2021-09-17 17:39:20,415 INFO epoch = 2, iteration = 0, loss_policy = 4.515839099884033, loss_value = 0.6719416975975037, loss = 5.187780857086182, accuracy = 0.0, 0.0
2021-09-17 17:39:20,479 INFO epoch = 2, iteration = 0, loss_policy = 0.00012909532233607024, loss_value = 0.7423032522201538, loss = 0.7424323558807373, accuracy = 0.0, 0.0
2021-09-17 17:39:20,568 INFO epoch = 2, iteration = 0, loss_policy = 0.008840823546051979, loss_value = 0.6621485948562622, loss = 0.6709893941879272, accuracy = 1.0, 1.0
2021-09-17 17:39:20,620 INFO epoch = 2, iteration = 0, loss_policy = 3.6407082080841064, loss_value = 0.688829779624939, loss = 4.329537868499756, accuracy = 0.0, 0.0
2021-09-17 17:39:20,671 INFO epoch = 2, iteration = 0, loss_policy = 5.747186183929443, loss_value = 0.6921848058700562, loss = 6.439371109008789, accuracy = 0.0, 0.0
2021-09-17 17:39:20,735 INFO epoch = 2, iteration = 0, loss_policy = 6.578607559204102, loss_value = 0.6849730610847473, loss = 7.263580799102783, accuracy = 0.0, 1.0
2021-09-17 17:39:20,788 INFO epoch = 2, iteration = 0, loss_policy = 13.870466232299805, loss_value = 0.7249438762664795, loss = 14.595410346984863, accuracy = 0.0, 0.0
2021-09-17 17:39:20,844 INFO epoch = 2, iteration = 0, loss_policy = 6.958651542663574, loss_value = 0.753497838973999, loss = 7.712149620056152, accuracy = 0.0, 1.0
2021-09-17 17:39:20,897 INFO epoch = 2, iteration = 0, loss_policy = 2.6939871311187744, loss_value = 0.6517770290374756, loss = 3.34576416015625, accuracy = 0.0, 1.0
2021-09-17 17:39:20,949 INFO epoch = 2, iteration = 0, loss_policy = 1.3344401121139526, loss_value = 0.6067860126495361, loss = 1.9412261247634888, accuracy = 1.0, 0.0
2021-09-17 17:39:21,002 INFO epoch = 2, iteration = 0, loss_policy = 4.92659330368042, loss_value = 0.7262704372406006, loss = 5.652863502502441, accuracy = 0.0, 0.0
2021-09-17 17:39:21,055 INFO epoch = 2, iteration = 0, loss_policy = 11.333829879760742, loss_value = 0.7397394776344299, loss = 12.073569297790527, accuracy = 1.0, 1.0
2021-09-17 17:39:21,111 INFO epoch = 2, iteration = 0, loss_policy = 5.177218437194824, loss_value = 0.7501564621925354, loss = 5.927374839782715, accuracy = 1.0, 0.0
2021-09-17 17:39:21,144 INFO epoch = 2, iteration = 0, loss_policy = 3.8511016368865967, loss_value = 0.6548023819923401, loss = 4.505904197692871, accuracy = 0.0, 1.0
2021-09-17 17:39:21,174 INFO epoch = 2, iteration = 0, loss_policy = 0.6890567541122437, loss_value = 0.7044887542724609, loss = 1.3935455083847046, accuracy = 1.0, 1.0
2021-09-17 17:39:21,203 INFO epoch = 2, iteration = 0, loss_policy = 0.681787371635437, loss_value = 0.7539327144622803, loss = 1.4357200860977173, accuracy = 1.0, 1.0
2021-09-17 17:39:21,237 INFO epoch = 2, iteration = 0, loss_policy = 5.728114128112793, loss_value = 0.6815201640129089, loss = 6.409634113311768, accuracy = 0.0, 0.0
2021-09-17 17:39:21,273 INFO epoch = 2, iteration = 0, loss_policy = 0.22696438431739807, loss_value = 0.6497320532798767, loss = 0.8766964673995972, accuracy = 1.0, 0.0
2021-09-17 17:39:21,303 INFO epoch = 2, iteration = 0, loss_policy = 5.634568691253662, loss_value = 0.6597057580947876, loss = 6.29427433013916, accuracy = 0.0, 1.0
2021-09-17 17:39:21,332 INFO epoch = 2, iteration = 0, loss_policy = 3.481708526611328, loss_value = 0.6261624693870544, loss = 4.107871055603027, accuracy = 0.0, 1.0
2021-09-17 17:39:21,361 INFO epoch = 2, iteration = 0, loss_policy = 2.986963987350464, loss_value = 0.7701767683029175, loss = 3.757140636444092, accuracy = 0.0, 0.0
2021-09-17 17:39:21,397 INFO epoch = 2, iteration = 0, loss_policy = 0.9581356048583984, loss_value = 0.627907395362854, loss = 1.5860430002212524, accuracy = 0.0, 0.0
2021-09-17 17:39:21,438 INFO epoch = 2, iteration = 0, loss_policy = 2.26751708984375, loss_value = 0.6516515612602234, loss = 2.919168710708618, accuracy = 0.0, 0.0
2021-09-17 17:39:21,473 INFO epoch = 2, iteration = 0, loss_policy = 12.446059226989746, loss_value = 0.6996052265167236, loss = 13.14566421508789, accuracy = 0.0, 0.0
2021-09-17 17:39:21,511 INFO epoch = 2, iteration = 0, loss_policy = 13.466620445251465, loss_value = 0.7964476346969604, loss = 14.263068199157715, accuracy = 0.0, 0.0
2021-09-17 17:39:21,548 INFO epoch = 2, iteration = 0, loss_policy = 6.895023345947266, loss_value = 0.732732892036438, loss = 7.627756118774414, accuracy = 0.0, 1.0
2021-09-17 17:39:21,583 INFO epoch = 2, iteration = 0, loss_policy = 0.23204262554645538, loss_value = 0.6756656765937805, loss = 0.9077082872390747, accuracy = 1.0, 1.0
2021-09-17 17:39:21,617 INFO epoch = 2, iteration = 0, loss_policy = 5.065349578857422, loss_value = 0.6981051564216614, loss = 5.763454914093018, accuracy = 0.0, 1.0
2021-09-17 17:39:21,660 INFO epoch = 2, iteration = 0, loss_policy = 5.768248558044434, loss_value = 0.7459568977355957, loss = 6.514205455780029, accuracy = 0.0, 0.0
2021-09-17 17:39:21,697 INFO epoch = 2, iteration = 0, loss_policy = 2.3635125160217285, loss_value = 0.6942573189735413, loss = 3.057769775390625, accuracy = 0.0, 0.0
2021-09-17 17:39:21,732 INFO epoch = 2, iteration = 0, loss_policy = 4.619467258453369, loss_value = 0.735558271408081, loss = 5.355025291442871, accuracy = 0.0, 1.0
